school_name,district_name,county_name,no_of_year12_enrollment,no_of_testtakers,avg_score_for_reading,avg_score_for_english,avg_score_for_math,avg_score_for_science,no_of_testtakers_having_>=21_compositescr,pct_of_testtakers_having_>=21_compositescr
Clayton Valley Charter High,Contra Costa County Office of Education,Contra Costa,482.0,130.0,25.0,24.0,23.0,24.0,95.0,73.08
Clovis East High,Clovis Unified,Fresno,584.0,55.0,22.0,21.0,22.0,23.0,31.0,56.36
Clovis High,Clovis Unified,Fresno,733.0,88.0,24.0,22.0,22.0,22.0,57.0,64.77
Clovis North High,Clovis Unified,Fresno,576.0,124.0,27.0,27.0,27.0,27.0,111.0,89.52
Clovis West High,Clovis Unified,Fresno,486.0,84.0,23.0,24.0,24.0,23.0,58.0,69.05
Coachella Valley High,Coachella Valley Unified,Riverside,607.0,88.0,18.0,16.0,19.0,18.0,18.0,20.45
Cobalt Institute of Math and Science Academy,Victor Valley Union High,San Bernardino,103.0,19.0,20.0,18.0,19.0,19.0,7.0,36.84
Colfax High,Placer Union High,Placer,125.0,31.0,24.0,22.0,22.0,22.0,20.0,64.52
College Park High,Mt. Diablo Unified,Contra Costa,443.0,70.0,25.0,24.0,24.0,23.0,53.0,75.71
Colony High,Chaffey Joint Union High,San Bernardino,539.0,55.0,20.0,20.0,20.0,20.0,22.0,40.0
Colton High,Colton Joint Unified,San Bernardino,445.0,71.0,18.0,17.0,19.0,18.0,14.0,19.72
Communication and Technology at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,103.0,33.0,15.0,14.0,17.0,15.0,2.0,6.06
Compton Early College High,Compton Unified,Los Angeles,65.0,64.0,20.0,18.0,19.0,19.0,22.0,34.38
Compton High,Compton Unified,Los Angeles,354.0,274.0,15.0,13.0,16.0,15.0,14.0,5.11
Concord High,Mt. Diablo Unified,Contra Costa,369.0,24.0,25.0,24.0,24.0,23.0,21.0,87.5
Contreras Learning Center-Academic Leadership Community,Los Angeles Unified,Los Angeles,84.0,58.0,14.0,13.0,16.0,15.0,3.0,5.17
Contreras Learning Center-School of Social Justice,Los Angeles Unified,Los Angeles,90.0,40.0,16.0,14.0,16.0,15.0,3.0,7.5
Corcoran High,Corcoran Joint Unified,Kings,169.0,40.0,18.0,17.0,18.0,19.0,10.0,25.0
Cordova High,Folsom-Cordova Unified,Sacramento,386.0,23.0,23.0,23.0,22.0,21.0,14.0,60.87
Corning High,Corning Union High,Tehama,206.0,113.0,18.0,18.0,18.0,17.0,33.0,29.2
Corona del Mar High,Newport-Mesa Unified,Orange,458.0,300.0,27.0,28.0,26.0,26.0,265.0,88.33
Corona High,Corona-Norco Unified,Riverside,581.0,108.0,19.0,18.0,19.0,19.0,34.0,31.48
Coronado High,Coronado Unified,San Diego,291.0,128.0,26.0,25.0,25.0,25.0,100.0,78.13
Costa Mesa High,Newport-Mesa Unified,Orange,286.0,30.0,24.0,23.0,21.0,22.0,19.0,63.33
Cosumnes Oaks High,Elk Grove Unified,Sacramento,580.0,143.0,24.0,23.0,23.0,23.0,100.0,69.93
Crawford High,San Diego Unified,San Diego,218.0,37.0,19.0,18.0,18.0,19.0,11.0,29.73
Crenshaw Science Technology Engineering Math and Medicine Magnet,Los Angeles Unified,Los Angeles,216.0,33.0,16.0,14.0,16.0,15.0,3.0,9.09
Crescenta Valley High,Glendale Unified,Los Angeles,631.0,143.0,27.0,27.0,26.0,26.0,124.0,86.71
Culver City High,Culver City Unified,Los Angeles,526.0,147.0,24.0,24.0,22.0,23.0,94.0,63.95
Cupertino High,Fremont Union High,Santa Clara,625.0,209.0,29.0,30.0,30.0,29.0,200.0,95.69
Cypress High,Anaheim Union High,Orange,713.0,105.0,26.0,25.0,26.0,25.0,86.0,81.9
Da Vinci Communications,Wiseburn Unified,Los Angeles,94.0,44.0,17.0,16.0,17.0,17.0,5.0,11.36
Da Vinci Design,Wiseburn Unified,Los Angeles,164.0,33.0,19.0,20.0,18.0,18.0,10.0,30.3
Da Vinci Science,Wiseburn Unified,Los Angeles,159.0,43.0,25.0,24.0,22.0,23.0,28.0,65.12
Dana Hills High,Capistrano Unified,Orange,669.0,213.0,27.0,27.0,26.0,26.0,193.0,90.61
Daniel Pearl Journalism & Communications Magnet,Los Angeles Unified,Los Angeles,71.0,23.0,24.0,24.0,22.0,22.0,14.0,60.87
David Starr Jordan Senior High,Los Angeles Unified,Los Angeles,87.0,16.0,18.0,16.0,17.0,18.0,5.0,31.25
Davis Senior High,Davis Joint Unified,Yolo,569.0,144.0,28.0,28.0,28.0,27.0,135.0,93.75
De Anza High,West Contra Costa Unified,Contra Costa,332.0,55.0,20.0,19.0,18.0,19.0,19.0,34.55
Deer Valley High,Antioch Unified,Contra Costa,533.0,47.0,23.0,21.0,22.0,21.0,23.0,48.94
Del Campo High,San Juan Unified,Sacramento,371.0,36.0,22.0,22.0,21.0,20.0,18.0,50.0
Del Lago Academy - Campus of Applied Science,Escondido Union High,San Diego,178.0,65.0,22.0,21.0,21.0,22.0,37.0,56.92
Del Mar High,Campbell Union High,Santa Clara,290.0,67.0,21.0,20.0,19.0,21.0,29.0,43.28
Del Norte High,Poway Unified,San Diego,515.0,211.0,28.0,28.0,27.0,27.0,186.0,88.15
Del Oro High,Placer Union High,Placer,410.0,110.0,25.0,24.0,24.0,24.0,86.0,78.18
Delano High,Delano Joint Union High,Kern,339.0,110.0,18.0,17.0,19.0,18.0,28.0,25.45
Delhi High,Delhi Unified,Merced,167.0,68.0,18.0,17.0,17.0,18.0,15.0,22.06
Desert Hot Springs High,Palm Springs Unified,Riverside,417.0,46.0,17.0,16.0,16.0,18.0,3.0,6.52
Desert Mirage High,Coachella Valley Unified,Riverside,459.0,97.0,17.0,16.0,17.0,17.0,12.0,12.37
Design Science Middle College High,Fresno Unified,Fresno,63.0,58.0,21.0,20.0,21.0,20.0,23.0,39.66
Design Tech High,San Mateo Union High,San Mateo,120.0,33.0,29.0,29.0,26.0,28.0,29.0,87.88
Diamond Bar High,Walnut Valley Unified,Los Angeles,749.0,188.0,28.0,28.0,29.0,27.0,165.0,87.77
Diamond Ranch High,Pomona Unified,Los Angeles,377.0,82.0,23.0,22.0,21.0,22.0,47.0,57.32
Dinuba High,Dinuba Unified,Tulare,423.0,96.0,18.0,16.0,17.0,19.0,18.0,18.75
Dixon High,Dixon Unified,Solano,246.0,67.0,21.0,20.0,21.0,20.0,34.0,50.75
Dominguez High,Compton Unified,Los Angeles,391.0,268.0,15.0,14.0,16.0,15.0,13.0,4.85
Don Antonio Lugo High,Chino Valley Unified,San Bernardino,432.0,22.0,21.0,22.0,21.0,21.0,9.0,40.91
Dos Pueblos Senior High,Santa Barbara Unified,Santa Barbara,486.0,155.0,25.0,25.0,25.0,24.0,107.0,69.03
Dougherty Valley High,San Ramon Valley Unified,Contra Costa,766.0,294.0,30.0,30.0,30.0,29.0,281.0,95.58
Downey High,Downey Unified,Los Angeles,1050.0,87.0,23.0,22.0,22.0,22.0,59.0,67.82
Downtown Business High,Los Angeles Unified,Los Angeles,203.0,102.0,22.0,21.0,22.0,22.0,61.0,59.8
Downtown College Prep - Alum Rock,Santa Clara County Office of Education,Santa Clara,61.0,38.0,17.0,16.0,17.0,17.0,7.0,18.42
Downtown College Preparatory,San Jose Unified,Santa Clara,85.0,57.0,16.0,15.0,16.0,17.0,5.0,8.77
Dozier-Libbey Medical High,Antioch Unified,Contra Costa,143.0,19.0,23.0,21.0,21.0,21.0,10.0,52.63
Dr. Maya Angelou Community High,Los Angeles Unified,Los Angeles,147.0,27.0,17.0,15.0,16.0,16.0,1.0,3.7
Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,Los Angeles Unified,Los Angeles,118.0,24.0,25.0,25.0,23.0,22.0,19.0,79.17
Duarte High,Duarte Unified,Los Angeles,199.0,28.0,20.0,20.0,18.0,19.0,10.0,35.71
Dublin High,Dublin Unified,Alameda,622.0,216.0,28.0,28.0,28.0,27.0,187.0,86.57
Eagle Rock High,Los Angeles Unified,Los Angeles,420.0,38.0,25.0,25.0,23.0,23.0,25.0,65.79
Early College High,Newport-Mesa Unified,Orange,50.0,38.0,24.0,24.0,23.0,23.0,24.0,63.16
East Bakersfield High,Kern High,Kern,533.0,34.0,19.0,17.0,18.0,18.0,7.0,20.59
East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,Los Angeles Unified,Los Angeles,94.0,23.0,17.0,16.0,16.0,18.0,2.0,8.7
East Union High,Manteca Unified,San Joaquin,392.0,29.0,21.0,20.0,22.0,20.0,13.0,44.83
East Valley Senior High,Los Angeles Unified,Los Angeles,141.0,15.0,16.0,15.0,16.0,17.0,1.0,6.67
Eastlake High,Sweetwater Union High,San Diego,802.0,111.0,24.0,23.0,23.0,23.0,75.0,67.57
Eastside High,Antelope Valley Union High,Los Angeles,562.0,45.0,19.0,18.0,16.0,18.0,9.0,20.0
Edison High,Huntington Beach Union High,Orange,669.0,125.0,25.0,25.0,24.0,25.0,101.0,80.8
Edison High,Stockton Unified,San Joaquin,525.0,25.0,19.0,17.0,18.0,18.0,7.0,28.0
Edison High,Fresno Unified,Fresno,560.0,67.0,23.0,21.0,21.0,21.0,36.0,53.73
Ednovate - East College Prep,Los Angeles Unified,Los Angeles,79.0,85.0,19.0,19.0,18.0,19.0,23.0,27.06
Ednovate - USC Hybrid High College Prep,Los Angeles Unified,Los Angeles,131.0,148.0,20.0,20.0,20.0,20.0,66.0,44.59
Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,233.0,20.0,18.0,17.0,18.0,19.0,7.0,35.0
Eisenhower Senior High,Rialto Unified,San Bernardino,524.0,63.0,18.0,16.0,18.0,18.0,15.0,23.81
El Cajon Valley High,Grossmont Union High,San Diego,553.0,94.0,19.0,18.0,20.0,20.0,36.0,38.3
El Camino Fundamental High,San Juan Unified,Sacramento,321.0,46.0,25.0,23.0,24.0,24.0,37.0,80.43
El Camino High,South San Francisco Unified,San Mateo,315.0,21.0,24.0,24.0,24.0,22.0,17.0,80.95
El Camino High,Oceanside Unified,San Diego,795.0,125.0,20.0,20.0,21.0,21.0,63.0,50.4
El Camino Real Charter High,Los Angeles Unified,Los Angeles,904.0,122.0,25.0,26.0,25.0,24.0,101.0,82.79
El Capitan High,Grossmont Union High,San Diego,406.0,56.0,22.0,21.0,20.0,21.0,30.0,53.57
El Capitan High,Merced Union High,Merced,373.0,96.0,20.0,18.0,19.0,19.0,31.0,32.29
El Cerrito High,West Contra Costa Unified,Contra Costa,331.0,48.0,24.0,23.0,23.0,23.0,29.0,60.42
El Diamante High,Visalia Unified,Tulare,461.0,49.0,20.0,20.0,21.0,21.0,22.0,44.9
El Dorado High,El Dorado Union High,El Dorado,235.0,48.0,23.0,21.0,21.0,21.0,26.0,54.17
El Dorado High,Placentia-Yorba Linda Unified,Orange,462.0,71.0,25.0,24.0,25.0,24.0,57.0,80.28
El Modena High,Orange Unified,Orange,526.0,42.0,24.0,24.0,24.0,23.0,29.0,69.05
El Molino High,West Sonoma County Union High,Sonoma,131.0,22.0,24.0,22.0,22.0,23.0,13.0,59.09
El Monte High,El Monte Union High,Los Angeles,397.0,114.0,19.0,18.0,20.0,19.0,42.0,36.84
El Rancho High,El Rancho Unified,Los Angeles,592.0,218.0,19.0,18.0,19.0,19.0,62.0,28.44
El Segundo High,El Segundo Unified,Los Angeles,292.0,109.0,25.0,25.0,24.0,24.0,78.0,71.56
El Toro High,Saddleback Valley Unified,Orange,559.0,113.0,23.0,23.0,23.0,23.0,75.0,66.37
Eleanor Roosevelt High,Corona-Norco Unified,Riverside,1083.0,190.0,23.0,21.0,22.0,22.0,111.0,58.42
Elk Grove High,Elk Grove Unified,Sacramento,475.0,97.0,24.0,22.0,23.0,22.0,62.0,63.92
Encinal Junior/Senior High,Alameda Unified,Alameda,233.0,44.0,26.0,26.0,25.0,24.0,36.0,81.82
Encore Jr./Sr. High School for the Performing and Visual Arts,Hesperia Unified,San Bernardino,113.0,37.0,20.0,18.0,17.0,17.0,10.0,27.03
Environmental Charter High,Lawndale Elementary,Los Angeles,126.0,96.0,17.0,17.0,18.0,17.0,19.0,19.79
Eric Birch High (Continuation),Fontana Unified,San Bernardino,142.0,113.0,13.0,11.0,14.0,13.0,0.0,0.0
Ernest Righetti High,Santa Maria Joint Union High,Santa Barbara,536.0,58.0,21.0,20.0,22.0,21.0,29.0,50.0
Ernest S. McBride Sr. High,Long Beach Unified,Los Angeles,165.0,24.0,24.0,24.0,22.0,23.0,15.0,62.5
Escalon High,Escalon Unified,San Joaquin,188.0,16.0,21.0,19.0,21.0,22.0,10.0,62.5
Escondido Charter High,Escondido Union High,San Diego,210.0,27.0,24.0,23.0,25.0,24.0,20.0,74.07
Escondido High,Escondido Union High,San Diego,580.0,137.0,19.0,17.0,18.0,19.0,38.0,27.74
Esperanza High,Placentia-Yorba Linda Unified,Orange,355.0,83.0,24.0,23.0,23.0,23.0,57.0,68.67
Estancia High,Newport-Mesa Unified,Orange,325.0,22.0,20.0,20.0,19.0,20.0,7.0,31.82
Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,85.0,27.0,15.0,14.0,16.0,16.0,3.0,11.11
Etiwanda High,Chaffey Joint Union High,San Bernardino,851.0,84.0,21.0,21.0,22.0,22.0,48.0,57.14
Etna Union High,Scott Valley Unified,Siskiyou,43.0,27.0,20.0,20.0,21.0,21.0,11.0,40.74
Eureka Senior High,Eureka City Schools,Humboldt,266.0,23.0,24.0,22.0,23.0,22.0,16.0,69.57
Everest Public High,Sequoia Union High,San Mateo,86.0,51.0,19.0,17.0,18.0,19.0,12.0,23.53
Everett Alvarez High,Salinas Union High,Monterey,607.0,122.0,19.0,18.0,18.0,18.0,34.0,27.87
Evergreen Valley High,East Side Union High,Santa Clara,712.0,122.0,29.0,29.0,29.0,28.0,114.0,93.44
Exeter Union High,Exeter Unified,Tulare,187.0,18.0,25.0,23.0,20.0,23.0,13.0,72.22
Fairfax Senior High,Los Angeles Unified,Los Angeles,361.0,36.0,21.0,21.0,21.0,20.0,12.0,33.33
Fallbrook High,Fallbrook Union High,San Diego,464.0,40.0,23.0,22.0,22.0,21.0,25.0,62.5
Farmersville High,Farmersville Unified,Tulare,170.0,46.0,18.0,16.0,17.0,17.0,8.0,17.39
Fillmore Senior High,Fillmore Unified,Ventura,250.0,29.0,24.0,23.0,23.0,23.0,19.0,65.52
Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,167.0,31.0,16.0,15.0,16.0,17.0,3.0,9.68
Florin High,Elk Grove Unified,Sacramento,322.0,94.0,19.0,18.0,20.0,19.0,30.0,31.91
Folsom High,Folsom-Cordova Unified,Sacramento,552.0,127.0,27.0,27.0,27.0,26.0,110.0,86.61
Fontana A. B. Miller High,Fontana Unified,San Bernardino,507.0,447.0,16.0,14.0,17.0,16.0,53.0,11.86
Fontana High,Fontana Unified,San Bernardino,538.0,496.0,15.0,13.0,16.0,16.0,42.0,8.47
Foothill High,Pleasanton Unified,Alameda,498.0,196.0,28.0,28.0,28.0,27.0,176.0,89.8
Foothill High,Kern High,Kern,471.0,15.0,20.0,18.0,21.0,19.0,6.0,40.0
Foothill High,Shasta Union High,Shasta,317.0,29.0,26.0,23.0,23.0,23.0,22.0,75.86
Foothill High,Tustin Unified,Orange,542.0,155.0,26.0,26.0,25.0,24.0,127.0,81.94
Foothill Technology High,Ventura Unified,Ventura,222.0,61.0,24.0,23.0,22.0,23.0,34.0,55.74
Fort Bragg High,Fort Bragg Unified,Mendocino,107.0,24.0,25.0,24.0,22.0,23.0,17.0,70.83
Fortuna Union High,Fortuna Union High,Humboldt,183.0,18.0,23.0,21.0,22.0,22.0,9.0,50.0
Foshay Learning Center,Los Angeles Unified,Los Angeles,166.0,56.0,19.0,18.0,19.0,18.0,19.0,33.93
Fountain Valley High,Huntington Beach Union High,Orange,805.0,102.0,27.0,26.0,26.0,26.0,87.0,85.29
Francisco Bravo Medical Magnet High,Los Angeles Unified,Los Angeles,403.0,101.0,21.0,20.0,21.0,20.0,55.0,54.46
Franklin High,Stockton Unified,San Joaquin,449.0,57.0,20.0,19.0,20.0,20.0,21.0,36.84
Franklin High,Elk Grove Unified,Sacramento,595.0,69.0,26.0,25.0,25.0,23.0,57.0,82.61
Fred C. Beyer High,Modesto City High,Stanislaus,397.0,63.0,25.0,25.0,24.0,24.0,47.0,74.6
Freedom High,Liberty Union High,Contra Costa,649.0,89.0,22.0,21.0,20.0,21.0,40.0,44.94
Fremont Academy of Engineering and Design,Pomona Unified,Los Angeles,90.0,19.0,19.0,17.0,18.0,18.0,6.0,31.58
Fremont High,Oakland Unified,Alameda,154.0,26.0,14.0,14.0,15.0,14.0,2.0,7.69
Fremont High,Fremont Union High,Santa Clara,508.0,82.0,27.0,27.0,27.0,26.0,66.0,80.49
Fresno High,Fresno Unified,Fresno,442.0,110.0,17.0,16.0,17.0,17.0,14.0,12.73
Frontier High,Kern High,Kern,576.0,50.0,25.0,23.0,24.0,22.0,38.0,76.0
Fullerton Union High,Fullerton Joint Union High,Orange,467.0,59.0,24.0,24.0,23.0,23.0,42.0,71.19
Gabrielino High,San Gabriel Unified,Los Angeles,433.0,69.0,28.0,28.0,26.0,26.0,62.0,89.86
Gahr (Richard) High,ABC Unified,Los Angeles,418.0,41.0,21.0,21.0,22.0,22.0,25.0,60.98
Galileo High,San Francisco Unified,San Francisco,462.0,95.0,21.0,20.0,23.0,21.0,55.0,57.89
Galt High,Galt Joint Union High,Sacramento,215.0,26.0,19.0,16.0,19.0,19.0,6.0,23.08
Ganesha High,Pomona Unified,Los Angeles,207.0,67.0,17.0,16.0,17.0,17.0,11.0,16.42
Garden Grove High,Garden Grove Unified,Orange,569.0,77.0,24.0,24.0,22.0,23.0,55.0,71.43
Gardena Senior High,Los Angeles Unified,Los Angeles,279.0,24.0,18.0,17.0,17.0,17.0,3.0,12.5
Garey High,Pomona Unified,Los Angeles,399.0,23.0,17.0,17.0,18.0,18.0,4.0,17.39
Gateway High,San Francisco Unified,San Francisco,112.0,39.0,21.0,20.0,19.0,19.0,16.0,41.03
Gilroy High,Gilroy Unified,Santa Clara,374.0,36.0,22.0,20.0,22.0,21.0,21.0,58.33
Gladstone High,Azusa Unified,Los Angeles,266.0,24.0,21.0,21.0,21.0,22.0,13.0,54.17
Glen A. Wilson High,Hacienda la Puente Unified,Los Angeles,355.0,28.0,25.0,23.0,24.0,24.0,20.0,71.43
Glendale High,Glendale Unified,Los Angeles,547.0,42.0,23.0,22.0,23.0,23.0,29.0,69.05
Glendora High,Glendora Unified,Los Angeles,591.0,79.0,25.0,23.0,24.0,23.0,66.0,83.54
Golden Valley High,Kern High,Kern,580.0,22.0,21.0,18.0,19.0,20.0,8.0,36.36
Golden Valley High,Merced Union High,Merced,397.0,45.0,18.0,16.0,18.0,18.0,10.0,22.22
Golden Valley High,William S. Hart Union High,Los Angeles,479.0,53.0,25.0,23.0,21.0,23.0,37.0,69.81
Golden West High,Visalia Unified,Tulare,383.0,38.0,21.0,19.0,20.0,21.0,17.0,44.74
Gompers Preparatory Academy,San Diego Unified,San Diego,125.0,114.0,16.0,15.0,17.0,16.0,12.0,10.53
Gonzales High,Gonzales Unified,Monterey,182.0,63.0,17.0,17.0,17.0,17.0,11.0,17.46
Granada High,Livermore Valley Joint Unified,Alameda,567.0,147.0,27.0,26.0,26.0,25.0,118.0,80.27
Granada Hills Charter High,Los Angeles Unified,Los Angeles,1120.0,204.0,25.0,25.0,24.0,24.0,154.0,75.49
Grand Terrace High School at the Ray Abril Jr. Educational Complex,Colton Joint Unified,San Bernardino,503.0,38.0,21.0,21.0,20.0,21.0,21.0,55.26
Granite Bay High,Roseville Joint Union High,Placer,513.0,201.0,26.0,26.0,26.0,25.0,175.0,87.06
Granite Hills High,Grossmont Union High,San Diego,557.0,97.0,22.0,20.0,22.0,21.0,55.0,56.7
Granite Hills High,Porterville Unified,Tulare,302.0,41.0,17.0,16.0,17.0,18.0,5.0,12.2
Grant Union High,Twin Rivers Unified,Sacramento,394.0,49.0,20.0,18.0,18.0,18.0,17.0,34.69
Great Oak High,Temecula Valley Unified,Riverside,756.0,214.0,24.0,24.0,23.0,23.0,157.0,73.36
Greenfield High,South Monterey County Joint Union High,Monterey,268.0,53.0,17.0,15.0,16.0,16.0,5.0,9.43
Gridley High,Gridley Unified,Butte,158.0,15.0,22.0,22.0,24.0,22.0,9.0,60.0
Grossmont High,Grossmont Union High,San Diego,539.0,87.0,23.0,22.0,23.0,22.0,51.0,58.62
Grover Cleveland Charter High,Los Angeles Unified,Los Angeles,651.0,110.0,26.0,26.0,24.0,24.0,88.0,80.0
Guajome Park Academy Charter,Vista Unified,San Diego,103.0,16.0,27.0,26.0,26.0,26.0,14.0,87.5
Gunderson High,San Jose Unified,Santa Clara,246.0,17.0,24.0,22.0,23.0,22.0,11.0,64.71
Gustine High,Gustine Unified,Merced,140.0,28.0,20.0,19.0,17.0,19.0,8.0,28.57
Half Moon Bay High,Cabrillo Unified,San Mateo,223.0,65.0,27.0,26.0,25.0,25.0,50.0,76.92
Hamilton High,Hamilton Unified,Glenn,86.0,30.0,18.0,18.0,18.0,19.0,7.0,23.33
Hanford High,Hanford Joint Union High,Kings,335.0,18.0,21.0,21.0,20.0,21.0,9.0,50.0
Hanford West High,Hanford Joint Union High,Kings,301.0,17.0,21.0,20.0,19.0,20.0,9.0,52.94
Harbor High,Santa Cruz City High,Santa Cruz,179.0,45.0,20.0,19.0,21.0,20.0,17.0,37.78
Harmony Magnet Academy,Porterville Unified,Tulare,109.0,38.0,22.0,21.0,22.0,22.0,21.0,55.26
Hawthorne High,Centinela Valley Union High,Los Angeles,498.0,124.0,18.0,17.0,17.0,17.0,20.0,16.13
Hawthorne Math and Science Academy,Hawthorne,Los Angeles,112.0,112.0,20.0,20.0,21.0,19.0,49.0,43.75
Hayward High,Hayward Unified,Alameda,355.0,37.0,21.0,20.0,20.0,20.0,21.0,56.76
Healdsburg High,Healdsburg Unified,Sonoma,139.0,36.0,24.0,25.0,22.0,22.0,29.0,80.56
Health Careers Academy,Stockton Unified,San Joaquin,96.0,41.0,18.0,17.0,18.0,18.0,11.0,26.83
Hector G. Godinez,Santa Ana Unified,Orange,627.0,72.0,21.0,18.0,20.0,20.0,33.0,45.83
Helen Bernstein High,Los Angeles Unified,Los Angeles,124.0,34.0,15.0,14.0,16.0,15.0,4.0,11.76
Helix High,Grossmont Union High,San Diego,578.0,239.0,22.0,21.0,22.0,21.0,134.0,56.07
Hemet High,Hemet Unified,Riverside,573.0,18.0,25.0,22.0,21.0,20.0,13.0,72.22
Henry High,San Diego Unified,San Diego,506.0,138.0,24.0,24.0,25.0,24.0,104.0,75.36
Henry J. Kaiser High,Fontana Unified,San Bernardino,516.0,467.0,16.0,14.0,16.0,16.0,63.0,13.49
Henry M. Gunn High,Palo Alto Unified,Santa Clara,501.0,223.0,29.0,29.0,29.0,28.0,201.0,90.13
Herbert Hoover High,Fresno Unified,Fresno,360.0,31.0,17.0,15.0,17.0,17.0,4.0,12.9
